Symbol,Sector,Company_Name,Price,Price_Change_1d,Price_Change_3d,Price_Change_5d,Vol_Expansion,Turn_Expansion,Curr_Delivery,Avg_Delivery,Delivery_Change,RS_Score,Accumulation_Score,Market_Cap,Is_SME,Bucket,Dist_From_High,High_52w
ZOTA,,Zota Health Care Limited,1307.5999755859375,2.605143639034338,7.145194151707869,6.725434843124896,3.0405610685486084,3.189052755514609,57.46,58.931999999999995,-1.4719999999999942,79.89333333333335,82.66933333333334,3966.298112,False,Neutral / Other,22.489628003204654,1687.0
GUJRAFFIA,,Gujarat Raffia Industries Limited,42.59999847412109,4.616888990813981,4.951954456706364,4.131015969231013,3.464537564415514,3.6106631968496767,82.88,81.196,1.6839999999999975,64.37333333333333,82.44533333333334,0.0,False,Neutral / Other,50.56857934176333,86.18000030517578
CREATIVEYE,,Creative Eye Limited,6.639999866485596,0.3021145207289472,-0.7473870001076982,1.5290505384687287,3.919145370758274,3.94295925262286,97.84,90.89,6.950000000000003,40.74666666666666,82.41199999999999,13.3186776,False,Neutral / Other,38.347264770085694,10.770000457763672
NRAIL,,N R Agarwal Industries Limited,462.6000061035156,4.49514193534243,3.943381371063164,3.15531129698171,5.255606334360719,5.466851550542819,78.22,74.862,3.358000000000004,56.69333333333333,82.40933333333334,787.3035776,False,Neutral / Other,8.65830882547008,506.4500122070313
SPECIALITY,,Speciality Restaurants Limited,118.41000366210938,8.136989645761988,8.982974688597471,11.823594621424526,5.398108061523487,5.912443963738186,71.39,76.188,-4.798000000000002,92.90666666666667,82.404,571.1584256,False,Neutral / Other,20.111993869306446,148.22000122070312
21STCENMGM,,Twentyfirst Century Management Services Limited,33.5099983215332,0.26930029179810366,4.29504266275121,6.855859914977029,3.5172386080527205,3.6445499351964794,84.09,86.296,-2.206000000000003,80.53333333333333,82.276,35.1854976,False,Neutral / Other,49.51032554649258,66.37000274658203
SHALPAINTS,,Shalimar Paints Limited,54.209999084472656,5.0174355020919865,2.051958159836537,4.571757185395096,7.737817021896706,8.042577450897005,73.79,73.39000000000001,0.3999999999999915,67.57333333333332,82.06933333333333,453.7982976,False,Neutral / Other,45.84956672264045,100.11000061035156
PUNJABCHEM,Specialty Chemicals,Punjab Chemicals and Crop Protection Limited,1042.800048828125,2.5873141985366455,1.6572430484304241,3.740552742188948,7.690951316015826,7.834888962951336,66.28,64.80199999999999,1.4780000000000086,61.44,81.86800000000001,1278.7007488,False,Neutral / Other,32.59211061227376,1547.0
AGARWALEYE,,,466.6499938964844,4.912321650891234,6.431743848632246,6.1171106075007105,4.981390583765068,5.273787165390119,50.54,53.218,-2.6780000000000044,77.17333333333333,81.45733333333332,14792.0125952,False,Neutral / Other,14.485984339790772,545.7000122070312
VHL,,Vardhman Holdings Limited,3674.300048828125,1.93363894145136,6.3288559147861925,8.341692358039717,2.4496904024767803,2.561613871027443,85.7,74.512,11.188000000000002,86.02666666666666,81.26560381043043,1172.6660608,False,BUCKET A,14.476169033575271,4296.2294921875
